,Candidate Name,Party,Criminal Cases,Education,Age,Assets,Liabilities,District,Election,EduRank
10,Amit Kumar Das,IND,0,8th Pass,35,"Rs 42,000 ~ 42 Thou+",Rs 0 ~,NADIA,WestBengal2021,0
11,Ananda Modak,IND,0,Literate,66,"Rs 27,21,100 ~ 27 Lacs+",Rs 0 ~,NADIA,WestBengal2021,2
12,Aniruddha Biswas,AITC,0,Post Graduate,37,"Rs 74,76,294 ~ 74 Lacs+",Rs 0 ~,NADIA,WestBengal2021,0
13,Anup Kumar Mondal,New Democratic Party of India,0,12th Pass,38,"Rs 33,49,265 ~ 33 Lacs+",Rs 0 ~,NADIA,WestBengal2021,0
14,Aparna Guha,SUCI(C),0,Graduate,53,"Rs 23,500 ~ 23 Thou+",Rs 0 ~,NADIA,WestBengal2021,7
15,Apurba Lal Roy,IND,0,10th Pass,45,"Rs 21,61,096 ~ 21 Lacs+",Rs 0 ~,NADIA,WestBengal2021,0
16,Arun Majumdar,BSP,0,Post Graduate,42,"Rs 28,42,000 ~ 28 Lacs+","Rs 7,00,000 ~ 7 Lacs+",NADIA,WestBengal2021,0
17,Ashim Biswas,BJP,4,Graduate,45,"Rs 24,86,573 ~ 24 Lacs+","Rs 56,898 ~ 56 Thou+",NADIA,WestBengal2021,7
18,Ashis Biswas,IND,0,Graduate,49,"Rs 10,62,961 ~ 10 Lacs+",Rs 0 ~,NADIA,WestBengal2021,7
19,Ashis Kumar Biswas,BJP,1,12th Pass,54,"Rs 86,00,365 ~ 86 Lacs+",Rs 0 ~,NADIA,WestBengal2021,0
20,Ashoke Chandra Das,BSP,0,Graduate,48,"Rs 73,46,174 ~ 73 Lacs+",Rs 0 ~,NADIA,WestBengal2021,7
21,Ashoke Kumar Das,IND,0,10th Pass,42,"Rs 32,87,008 ~ 32 Lacs+",Rs 0 ~,NADIA,WestBengal2021,0
22,Ashutosh Paul,BJP,3,10th Pass,59,"Rs 69,24,721 ~ 69 Lacs+",Rs 0 ~,NADIA,WestBengal2021,0
23,Asim Kumar Sarkar,BJP,2,Literate,60,"Rs 1,46,46,099 ~ 1 Crore+","Rs 16,23,358 ~ 16 Lacs+",NADIA,WestBengal2021,2
24,Asit Baran Biswas,SUCI(C),0,Literate,60,"Rs 6,15,333 ~ 6 Lacs+",Rs 0 ~,NADIA,WestBengal2021,2
25,Bankim Chandra Ghosh,BJP,1,12th Pass,62,"Rs 1,03,84,456 ~ 1 Crore+","Rs 50,000 ~ 50 Thou+",NADIA,WestBengal2021,0
26,Barnali Dey Roy,AITC,0,12th Pass,41,"Rs 5,89,29,923 ~ 5 Crore+","Rs 1,90,22,169 ~ 1 Crore+",NADIA,WestBengal2021,0
27,Bhowmick Koushik,IND,0,12th Pass,37,"Rs 14,300 ~ 14 Thou+",Rs 0 ~,NADIA,WestBengal2021,0
28,Bibhash Chandra Mandal,BJP,0,8th Pass,54,"Rs 23,48,468 ~ 23 Lacs+","Rs 90,000 ~ 90 Thou+",NADIA,WestBengal2021,0
29,Bidhan Ghosh,Bharatiya Nyay-Adhikar Raksha Party,0,Post Graduate,37,"Rs 16,25,800 ~ 16 Lacs+",Rs 0 ~,NADIA,WestBengal2021,0
30,Bijayendu Biswas (Habu),INC,0,12th Pass,62,"Rs 1,90,20,602 ~ 1 Crore+",Rs 0 ~,NADIA,WestBengal2021,0
31,Bijoy Dutta,IND,0,12th Pass,54,"Rs 21,84,565 ~ 21 Lacs+","Rs 8,56,000 ~ 8 Lacs+",NADIA,WestBengal2021,0
32,Bimalendu Sinha Roy,AITC,0,Post Graduate,63,"Rs 2,06,58,032 ~ 2 Crore+","Rs 3,91,624 ~ 3 Lacs+",NADIA,WestBengal2021,0
33,Biplab Chandra Das,SUCI(C),0,12th Pass,42,"Rs 12,30,367 ~ 12 Lacs+","Rs 1,70,000 ~ 1 Lacs+",NADIA,WestBengal2021,0
34,Chiranjit Sardar,IND,0,10th Pass,32,"Rs 44,59,862 ~ 44 Lacs+","Rs 7,00,000 ~ 7 Lacs+",NADIA,WestBengal2021,0
35,Debasish Majhi,IND,0,8th Pass,28,"Rs 22,331 ~ 22 Thou+",Rs 0 ~,NADIA,WestBengal2021,0
36,Dhanapati Mondal,SUCI(C),0,5th Pass,66,"Rs 7,63,750 ~ 7 Lacs+","Rs 35,000 ~ 35 Thou+",NADIA,WestBengal2021,0
37,Dinesh Chandra Biswas,Rashtriya Secular Majlis Party,0,Graduate Professional,61,"Rs 97,28,055 ~ 97 Lacs+",Rs 0 ~,NADIA,WestBengal2021,0
38,Dipali Biswas,BSP,0,10th Pass,37,"Rs 14,64,500 ~ 14 Lacs+",Rs 0 ~,NADIA,WestBengal2021,0
39,Dipika Pramanik,Purvanchal Mahapanchayat,0,Post Graduate,28,"Rs 6,110 ~ 6 Thou+",Rs 0 ~,NADIA,WestBengal2021,0
40,Dr. Manik Bhattacharya,AITC,0,Doctorate,66,"Rs 2,98,70,186 ~ 2 Crore+",Rs 0 ~,NADIA,WestBengal2021,10
41,Dr. Tapas Mandal,AITC,0,Doctorate,49,"Rs 2,91,11,664 ~ 2 Crore+",Rs 0 ~,NADIA,WestBengal2021,10
42,Goutam Malo,BSP,0,Graduate,37,"Rs 24,70,000 ~ 24 Lacs+","Rs 15,00,000 ~ 15 Lacs+",NADIA,WestBengal2021,7
43,Harish Chandra Biswas,Purvanchal Mahapanchayat,0,10th Pass,53,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,NADIA,WestBengal2021,0
44,Jagannath Sarkar,BJP,4,Graduate,58,"Rs 1,52,50,717 ~ 1 Crore+","Rs 18,99,358 ~ 18 Lacs+",NADIA,WestBengal2021,7
45,Jahangir Biswas (Raju),CPI(M),0,Post Graduate,36,"Rs 20,67,759 ~ 20 Lacs+",Rs 0 ~,NADIA,WestBengal2021,0
46,Jayanta Das,Bharatiya Nyay-Adhikar Raksha Party,0,8th Pass,43,"Rs 5,26,500 ~ 5 Lacs+",Rs 0 ~,NADIA,WestBengal2021,0
47,Jeber Sekh,IND,2,8th Pass,43,"Rs 39,31,971 ~ 39 Lacs+","Rs 6,10,305 ~ 6 Lacs+",NADIA,WestBengal2021,0
48,Jhunu Baidya,CPI(M),0,Graduate,30,"Rs 35,786 ~ 35 Thou+",Rs 0 ~,NADIA,WestBengal2021,7
49,Jitendranath Halder,BSP,0,5th Pass,70,"Rs 23,29,303 ~ 23 Lacs+",Rs 0 ~,NADIA,WestBengal2021,0
50,Joydip Chaudhuri,SUCI(C),0,Graduate,61,"Rs 50,37,010 ~ 50 Lacs+",Rs 0 ~,NADIA,WestBengal2021,7
51,Kabil Uddin Shaikh,IND,2,Graduate,50,"Rs 1,14,13,694 ~ 1 Crore+","Rs 14,47,000 ~ 14 Lacs+",NADIA,WestBengal2021,7
52,Kallol Khan,AITC,2,12th Pass,67,"Rs 25,08,032 ~ 25 Lacs+","Rs 8,60,432 ~ 8 Lacs+",NADIA,WestBengal2021,0
53,Kalyan Kumar Nandi,BJP,0,Others,61,"Rs 1,27,36,624 ~ 1 Crore+",Rs 0 ~,NADIA,WestBengal2021,0
54,Kamal Sarkar,IND,0,Graduate,39,"Rs 3,96,436 ~ 3 Lacs+",Rs 0 ~,NADIA,WestBengal2021,7
55,Kanchan Maitra,Rashtriya Secular Majlis Party,0,Doctorate,60,"Rs 69,24,128 ~ 69 Lacs+",Rs 0 ~,NADIA,WestBengal2021,10
56,Koushani Mukherjee,AITC,0,Graduate,28,"Rs 1,43,21,113 ~ 1 Crore+","Rs 81,20,859 ~ 81 Lacs+",NADIA,WestBengal2021,7
